科学家,词语,频次
吴健雄,JIAN,185
吴健雄,老师,177
吴健雄,ZHUAN,169
吴健雄,物理学,163
吴健雄,世界,161
吴健雄,学生,156
吴健雄,后来,154
吴健雄,守恒,151
吴健雄,国家,145
吴健雄,一位,145
吴健雄,南京大学,143
吴健雄,宇称,141
吴健雄,非常,138
吴健雄,问题,137
吴健雄,这些,136
吴健雄,一些,134
吴健雄,同学,133
吴健雄,很多,132
吴健雄,这位,130
吴健雄,不是,129
吴健雄,胡适,124
吴健雄,认为,124
吴健雄,特别,122
吴健雄,贡献,119
吴健雄,衰变,118
吴健雄,发展,117
吴健雄,著名,116
吴健雄,实验室,115
吴健雄,原子弹,115
吴健雄,觉得,115
吴健雄,还是,114
吴健雄,知道,111
吴健雄,女性,111
吴健雄,方面,105
吴健雄,不能,105
吴健雄,学校,102
吴健雄,一次,102
吴健雄,这种,102
吴健雄,物理学家,101
吴健雄,当时,101
吴健雄,这是,99
吴健雄,进行,97
吴健雄,20,96
吴健雄,诺贝尔奖,96
吴健雄,有人,96
吴健雄,一种,94
吴健雄,重要,93
吴健雄,中央大学,92
吴健雄,父亲,89
吴健雄,得到,89
吴健雄,上海,88
吴健雄,教育,88
吴健雄,费米,84
吴健雄,许多,83
吴健雄,物理系,82
吴健雄,哥伦比亚大学,82
吴健雄,现在,81
吴健雄,劳伦斯,81
吴健雄,国际,80
吴健雄,常常,78
吴健雄,一般,77
吴健雄,李政道,75
吴健雄,克利,74
吴健雄,当然,74
吴健雄,南京,73
吴健雄,杨振宁,73
吴健雄,大家,73
吴健雄,浏河,73
吴健雄,成就,72
吴健雄,那么,72
吴健雄,参加,71
吴健雄,技术,71
吴健雄,理论,71
吴健雄,不仅,71
吴健雄,健雄,70
吴健雄,DE,70
吴健雄,总是,70
吴健雄,先生,70
吴健雄,居里夫人,69
吴健雄,纽约,69
吴健雄,社会,69
吴健雄,一起,68
吴健雄,国内,68
吴健雄,一生,68
吴健雄,夫妇,67
埃达·洛夫莱斯,埃达,224
埃达·洛夫莱斯,数学,122
埃达·洛夫莱斯,Byron,113
埃达·洛夫莱斯,Lovelace,112
埃达·洛夫莱斯,莱斯,108
埃达·洛夫莱斯,洛夫,105
埃达·洛夫莱斯,of,82
埃达·洛夫莱斯,巴贝奇,78
埃达·洛夫莱斯,Dep,73
埃达·洛夫莱斯,拜伦,63
埃达·洛夫莱斯,Ada,59
埃达·洛夫莱斯,to,58
埃达·洛夫莱斯,摩根,56
埃达·洛夫莱斯,the,53
埃达·洛夫莱斯,and,50
埃达·洛夫莱斯,分析,46
埃达·洛夫莱斯,Library,43
埃达·洛夫莱斯,科学,43
埃达·洛夫莱斯,程序员,41
埃达·洛夫莱斯,Oxford,41
埃达·洛夫莱斯,第一位,40
埃达·洛夫莱斯,史上,39
